FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
1,2010-06-04,Falcon 9,0.0,LEO,Cape Canaveral Space Force Station (SLC-40),None None,1,False,False,False,,,,,-80.57718,28.562106
2,2012-05-22,Falcon 9,525.0,LEO(ISS) ,Cape Canaveral Space Force Station (SLC-40),None None,1,False,False,False,,,,,-80.57718,28.562106
3,2013-03-01,Falcon 9,,,Cape Canaveral Space Force Station (SLC-40),None None,1,False,False,False,,,,,-80.57718,28.562106
4,2013-09-29,Falcon 9,500.0,Polar orbit LEO,Vandenberg Space Launch Complex 4,False Ocean,1,False,False,False,,,,,-120.613,34.633
5,2013-12-03,Falcon 9,3170.0,GTP ,Cape Canaveral Space Force Station (SLC-40),None None,1,False,False,False,,,,,-80.57718,28.562106
6,2014-01-06,Falcon 9,3325.0,GTO,Cape Canaveral Space Force Station (SLC-40),None None,1,False,False,False,,,,,-80.57718,28.562106
7,2014-04-18,Falcon 9,2296.0,LEO(ISS) ,Cape Canaveral Space Force Station (SLC-40),True Ocean,1,False,False,True,,,,,-80.57718,28.562106
8,2014-07-14,Falcon 9,1316.0,LEO,Cape Canaveral Space Force Station (SLC-40),True Ocean,1,False,False,True,,,,,-80.57718,28.562106
9,2014-08-05,Falcon 9,4535.0,GTO,Cape Canaveral Space Force Station (SLC-40),None None,1,False,False,False,,,,,-80.57718,28.562106
10,2014-09-07,Falcon 9,4428.0,GTO,Cape Canaveral Space Force Station (SLC-40),None None,1,False,False,False,,,,,-80.57718,28.562106
11,2014-09-21,Falcon 9,2216.0,LEO(ISS) ,Cape Canaveral Space Force Station (SLC-40),False Ocean,1,False,False,False,,,,,-80.57718,28.562106
12,2015-01-10,Falcon 9,2395.0,LEO(ISS) ,Cape Canaveral Space Force Station (SLC-40),False ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,,,,-80.57718,28.562106
13,2015-02-11,Falcon 9,570.0,Sun-Earth L1 insertion ,Cape Canaveral Space Force Station (SLC-40),True Ocean,1,True,False,True,,,,,-80.57718,28.562106
14,2015-04-14,Falcon 9,1898.0,LEO(ISS) ,Cape Canaveral Space Force Station (SLC-40),False ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,,,,-80.57718,28.562106
15,2015-04-27,Falcon 9,4707.0,GTO,Cape Canaveral Space Force Station (SLC-40),None None,1,False,False,False,,,,,-80.57718,28.562106
16,2015-06-28,Falcon 9,1952.0,LEO,Cape Canaveral Space Force Station (SLC-40),None ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,-80.57718,28.562106
17,2015-12-22,Falcon 9,2034.0,LEO,Cape Canaveral Space Force Station (SLC-40),True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,-80.57718,28.562106
18,2016-01-17,Falcon 9,553.0,LEO,Vandenberg Space Launch Complex 4,False ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,-120.613,34.633
19,2016-03-04,Falcon 9,5271.0,GTO,Cape Canaveral Space Force Station (SLC-40),False ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,-80.57718,28.562106
20,2016-04-08,Falcon 9,3136.0,LEO(ISS) ,Cape Canaveral Space Force Station (SLC-40),True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,-80.57718,28.562106
21,2016-05-06,Falcon 9,4696.0,GTO,Cape Canaveral Space Force Station (SLC-40),True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,-80.57718,28.562106
22,2016-05-27,Falcon 9,4100.0,GTO,Cape Canaveral Space Force Station (SLC-40),True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,-80.57718,28.562106
23,2016-07-18,Falcon 9,2257.0,LEO(ISS) ,Cape Canaveral Space Force Station (SLC-40),True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,-80.57718,28.562106
24,2016-08-14,Falcon 9,4600.0,GTO,Cape Canaveral Space Force Station (SLC-40),True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,-80.57718,28.562106
25,2016-09-01,Falcon 9,,,Cape Canaveral Space Force Station (SLC-40),None ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,-80.57718,28.562106
26,2017-01-14,Falcon 9,9600.0,Polar LEO,Vandenberg Space Launch Complex 4,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,-120.613,34.633
27,2017-02-19,Falcon 9,2490.0,LEO(ISS) ,Kennedy Space Center Launch Complex 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,-80.604333,28.608389
28,2017-03-16,Falcon 9,5600.0,LEO,Kennedy Space Center Launch Complex 39A,None None,1,False,False,False,,,,,-80.604333,28.608389
29,2017-03-30,Falcon 9,5300.0,GTO,Kennedy Space Center Launch Complex 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,,,,-80.604333,28.608389
30,2017-05-01,Falcon 9,0.0,LEO,Kennedy Space Center Launch Complex 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,-80.604333,28.608389
31,2017-05-15,Falcon 9,6070.0,GTO,Kennedy Space Center Launch Complex 39A,None None,1,False,False,False,,,,,-80.604333,28.608389
32,2017-06-03,Falcon 9,2708.0,LEO(ISS) ,Kennedy Space Center Launch Complex 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,-80.604333,28.608389
33,2017-06-23,Falcon 9,3669.0,GTO,Kennedy Space Center Launch Complex 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,,,,-80.604333,28.608389
34,2017-06-25,Falcon 9,9600.0,LEO,Vandenberg Space Launch Complex 4,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,-120.613,34.633
35,2017-07-05,Falcon 9,6761.0,GTO,Kennedy Space Center Launch Complex 39A,None None,1,False,False,False,,,,,-80.604333,28.608389
36,2017-08-14,Falcon 9,3310.0,LEO(ISS) ,Kennedy Space Center Launch Complex 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,-80.604333,28.608389
37,2017-08-24,Falcon 9,475.0,SSO,Vandenberg Space Launch Complex 4,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,-120.613,34.633
38,2017-09-07,Falcon 9,4990.0,LEO,Kennedy Space Center Launch Complex 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,-80.604333,28.608389
39,2017-10-09,Falcon 9,9600.0,Polar LEO,Vandenberg Space Launch Complex 4,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,-120.613,34.633
40,2017-10-11,Falcon 9,5400.0,GTO,Kennedy Space Center Launch Complex 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,,,,-80.604333,28.608389
